Timestamp,Evaluator Name,Paper ID,Gatekeeper,Any Comments (Optional),research_question,Comment (Optional),data_category,data_format,data_characteristics,Any comments (Optional),Data Cleaning,Data Reduction,Data Transformation,Any comments (Optional),Foundational Paradigm,Any Comments (Optional),ML Learning Type,ML Problem Type,Deep Learning Used,Any comments (optional),Specialised Paradigms (Skip if none),Any Comments (Optional),evaluation_strategy,learning_type,problem_type,evaluation_metrics_present,validation_procedure,effect_size_reported,assumption_checks_reported,Any comments (Optional),explicit_theory,implicit_theory_detected,epistemological_orientation,primary_research_orientation,Any comments (optional),interpretability_discussed,interpretability_approach,model_transparency_level,Any comments (Optional),Privacy_protection_reported,bias_fairness_considered,societal_impact_discussed,Ethical Reflection Level,Any comments (Optional)
2026/03/12 3:20:45 PM GMT+5:30,Sahil,2011 - 1,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/03/17 8:23:18 PM GMT+5:30,Sahil,2018 - 8,Include,,Predictive,,Survey / Statistical,Structured,Temporal;Spatial;Textual,,Not Reported,Not Reported,Not Reported,,Mixed,,Supervised Learning,classification;regression,FALSE,,,,Machine Learning Evaluation,Supervised,Classification;Regression,Yes,train/test split,Not applicable,Not applicable,,No,Yes,Hybrid (data + theory),Method-oriented research,,No,None reported,Low transparency,,No,No,No,Low,
2026/03/17 10:41:07 PM GMT+5:30,Sahil,2018 - 12,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/03/17 10:42:13 PM GMT+5:30,Sahil,2018 - 26,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026/03/18 12:56:03 AM GMT+5:30,Sahil,2019 - 33,Include,,Inferential,,UGC,Structured,Temporal; Textual,,Not Reported,Not Reported,Not Reported,,Classical Statistical Modelling,,,,,,,,Statistical Model Diagnostics,Not applicable,Not applicable,No,Not reported,Not reported,Not reported,,No,Yes,Hybrid (data + theory),Knowledge-oriented research,,No,Inherently interpretable model,Moderate transparency,,No,No,No,Low,
2026/03/18 1:58:27 AM GMT+5:30,Sahil,2020 - 8,Include,,Exploratory,,Survey / Statistical,Unstructured;Structured,Textual;Networked;Spatial,,Transparently Described,Not Reported,Transparently Described,,Machine Learning,,Unsupervised Learning,clustering;dimensionality reduction,FALSE,,Natural Language Processing;Network Analysis,,Machine Learning Evaluation,Unsupervised,Clustering;Dimensionality Reduction,Yes,Not reported,Not applicable,Not applicable,,No,Yes,Hybrid (data + theory),Hybrid (method + knowledge),,No,Inherently interpretable model,Moderate transparency,,No,No,No,Low,
2026/03/18 4:21:55 PM GMT+5:30,Sahil,2021 - 28,Include,,Inferential,,Survey / Statistical,Structured,Temporal;Spatial;Networked,,Transparently Described,Not Reported,Transparently Described,,Mixed,,Supervised Learning,regression,FALSE,,,,Mixed Evaluation,Supervised,Regression,No,Not reported,Not applicable,Not applicable,,No,Yes,Hybrid (data + theory),Knowledge-oriented research,,No,Inherently interpretable model,Moderate transparency,,No,No,No,Low,
2026/03/18 6:56:48 PM GMT+5:30,Sahil,2021 - 56,Include,,Predictive,,UGC; Transaction,Unstructured;Structured,Temporal;Textual,,Mentioned,Not Reported,Transparently Described,,Mixed,,Supervised Learning;Unsupervised Learning,regression;clustering,FALSE,,Time-Series Analytics;Natural Language Processing,,Mixed Evaluation,Supervised;Unsupervised,Regression;Clustering,Yes,train/test split;temporal split,Not applicable,Not applicable,,No,Yes,Hybrid (data + theory),Method-oriented research,,No,None reported,Low transparency,,No,No,No,Low,
2026/03/18 7:47:28 PM GMT+5:30,Sahil,2023 - 58,Include,,Exploratory,,UGC,Unstructured,Spatial;Visual;Textual,,Not Reported,Not Reported,Not Reported,,Machine Learning,,Unsupervised Learning,clustering,FALSE,,Natural Language Processing;Spatial Analytics;Emerging Paradigms,,Machine Learning Evaluation,Supervised,Clustering,Yes,Not reported,Not applicable,Not applicable,,Yes,Yes,Theory-driven research,Knowledge-oriented research,,No,Inherently interpretable model,Moderate transparency,,No,No,No,Low,
2026/03/19 1:11:02 PM GMT+5:30,Sahil,2024 - 99,Include,,Predictive,,Survey / Statistical,Structured,Temporal;Spatial,,Not Reported,Not Reported,Not Reported,,Machine Learning,,Supervised Learning,reward optimisation,FALSE,,Time-Series Analytics;Spatial Analytics,,Machine Learning Evaluation,Supervised,Reward Optimisation,No,Not reported,Not applicable,Not applicable,,Yes,Yes,Theory-driven research,Method-oriented research,,Yes,Inherently interpretable model,High transparency,,No,No,Yes,Moderate,
