Paper ID,Gatekeeper_GT,Gatekeeper_Agent,Gatekeeper_Match,Deep Learning Used_GT,Deep Learning Used_Agent,Deep Learning Used_Match,Privacy_protection_reported_GT,Privacy_protection_reported_Agent,Privacy_protection_reported_Match,bias_fairness_considered_GT,bias_fairness_considered_Agent,bias_fairness_considered_Match,research_question_GT,research_question_Agent,research_question_Match,data_category_GT,data_category_Agent,data_category_Match,data_format_GT,data_format_Agent,data_format_Match,Foundational Paradigm_GT,Foundational Paradigm_Agent,Foundational Paradigm_Match,epistemological_orientation_GT,epistemological_orientation_Agent,epistemological_orientation_Match,interpretability_discussed_GT,interpretability_discussed_Agent,interpretability_discussed_Match,evaluation_metrics_present_GT,evaluation_metrics_present_Agent,evaluation_metrics_present_Match,data_characteristics_GT,data_characteristics_Agent,data_characteristics_Match,ML Problem Type_GT,ML Problem Type_Agent,ML Problem Type_Match
2011 - 1,exclude,exclude,✓,None,None,✓,None,None,✓,None,None,✓,None,None,✓,set(),set(),✓,set(),set(),✓,None,None,✓,None,None,✓,None,None,✓,None,None,✓,set(),set(),✓,set(),set(),✓
2018 - 8,include,include,✓,no,no,✓,no,no,✓,no,no,✓,predictive,causal,✗,{'survey/statistical'},{'survey/statistical'},✓,{'structured'},{'structured'},✓,mixed,mixed,✓,hybrid (data + theory),theory-driven research,✗,no,yes,✗,yes,yes,✓,"{'temporal', 'spatial'}",{'temporal'},✗,"{'regression', 'classification'}","{'regression', 'classification'}",✓
2018 - 12,exclude,include,✗,None,no,✗,None,no,✗,None,no,✗,None,exploratory,✗,set(),"{'transaction', 'device', 'ugc'}",✗,set(),{'unstructured'},✗,None,mixed,✗,None,hybrid (data + theory),✗,None,no,✗,None,no,✗,set(),set(),✓,set(),set(),✓
2018 - 26,exclude,include,✗,None,no,✗,None,no,✗,None,no,✗,None,descriptive,✗,set(),"{'transaction', 'device', 'ugc'}",✗,set(),"{'semi-structured', 'unstructured'}",✗,None,mixed,✗,None,theory-driven research,✗,None,no,✗,None,no,✗,set(),"{'networked', 'textual'}",✗,set(),set(),✓
2019 - 33,include,include,✓,None,no,✗,no,no,✓,no,no,✓,inferential,inferential,✓,{'ugc'},{'ugc'},✓,{'structured'},{'structured'},✓,classical statistical modelling,classical statistical modelling,✓,hybrid (data + theory),hybrid (data + theory),✓,no,no,✓,no,no,✓,{'temporal'},{'textual'},✗,set(),set(),✓
2020 - 8,include,include,✓,no,no,✓,no,no,✓,no,no,✓,exploratory,exploratory,✓,{'survey/statistical'},"{'transaction', 'survey/statistical', 'ugc'}",✗,"{'structured', 'unstructured'}","{'semi-structured', 'structured'}",✗,machine learning,machine learning,✓,hybrid (data + theory),hybrid (data + theory),✓,no,yes,✗,yes,yes,✓,"{'networked', 'textual'}","{'networked', 'textual'}",✓,"{'clustering', 'dimensionality reduction'}",{'clustering'},✗
2021 - 28,include,include,✓,no,no,✓,no,no,✓,no,no,✓,inferential,causal,✗,"{'transaction', 'survey/statistical'}","{'transaction', 'survey/statistical'}",✓,{'structured'},{'structured'},✓,mixed,mixed,✓,hybrid (data + theory),theory-driven research,✗,no,no,✓,no,yes,✗,"{'temporal', 'spatial'}",{'temporal'},✗,{'regression'},{'regression'},✓
2021 - 56,include,include,✓,no,no,✓,no,no,✓,no,no,✓,predictive,predictive,✓,"{'transaction', 'ugc'}","{'transaction', 'ugc'}",✓,"{'structured', 'unstructured'}",{'structured'},✗,mixed,mixed,✓,hybrid (data + theory),data-driven discovery,✗,no,yes,✗,yes,yes,✓,"{'temporal', 'textual'}","{'networked', 'temporal'}",✗,"{'clustering', 'regression'}",{'regression'},✗
2023 - 58,include,include,✓,no,no,✓,no,no,✓,no,no,✓,exploratory,exploratory,✓,"{'device', 'ugc'}",{'ugc'},✗,"{'structured', 'unstructured'}",{'semi-structured'},✗,machine learning,mixed,✗,theory-driven research,theory-driven research,✓,no,yes,✗,yes,yes,✓,"{'visual', 'spatial'}","{'visual', 'spatial'}",✓,{'clustering'},set(),✗
2024 - 99,include,include,✓,no,no,✓,no,no,✓,no,no,✓,predictive,causal,✗,{'survey/statistical'},set(),✗,{'structured'},set(),✗,machine learning,machine learning,✓,theory-driven research,theory-driven research,✓,yes,no,✗,no,no,✓,"{'temporal', 'spatial'}",set(),✗,{'reward optimisation'},{'reward optimisation'},✓
